#Nucl_X Initial_stress Strength_excess Dc_0 Dc_Rate Seismic_Moment Ruptured_Area Rupture_velocity Stress_drop E_g E_r
1000. 0.05 0.07 0.1 0.15 0.51186E+17 0.24800E+07 0.37981E+04 0.56801E+08 0.23516E+14 0.21293E+14
1000. 0.05 0.07 0.2 0.0 0.55064E+17 0.30000E+07 0.35306E+04 0.52087E+08 0.24930E+14 0.19273E+14
1000. 0.05 0.07 0.2 0.03 0.50849E+17 0.25700E+07 0.35923E+04 0.55730E+08 0.24897E+14 0.18777E+14
1000. 0.05 0.07 0.2 0.06 0.48164E+17 0.23600E+07 0.36465E+04 0.58265E+08 0.24948E+14 0.18301E+14
1000. 0.05 0.07 0.2 0.09 0.46147E+17 0.22000E+07 0.36780E+04 0.60168E+08 0.24938E+14 0.17854E+14
1000. 0.05 0.07 0.2 0.12 0.44336E+17 0.20800E+07 0.36986E+04 0.62033E+08 0.24937E+14 0.17450E+14
1000. 0.05 0.07 0.2 0.15 0.42808E+17 0.19800E+07 0.37203E+04 0.63737E+08 0.24974E+14 0.17077E+14
1000. 0.05 0.07 0.3 0.0 0.42597E+17 0.20800E+07 0.35840E+04 0.62721E+08 0.25911E+14 0.15264E+14
1000. 0.05 0.07 0.3 0.03 0.41001E+17 0.19400E+07 0.36095E+04 0.64538E+08 0.25868E+14 0.14913E+14
1000. 0.05 0.07 0.3 0.06 0.39559E+17 0.18400E+07 0.36304E+04 0.66243E+08 0.25795E+14 0.14590E+14
1000. 0.05 0.07 0.3 0.09 0.38149E+17 0.17300E+07 0.36542E+04 0.68223E+08 0.25809E+14 0.14301E+14
1000. 0.05 0.07 0.3 0.12 0.37025E+17 0.16500E+07 0.36563E+04 0.69767E+08 0.25791E+14 0.14019E+14
1000. 0.05 0.07 0.3 0.15 0.36096E+17 0.16000E+07 0.36739E+04 0.70997E+08 0.25756E+14 0.13739E+14
1000. 0.05 0.07 0.4 0.0 0.34554E+17 0.15600E+07 0.36150E+04 0.72563E+08 0.26452E+14 0.12190E+14
1000. 0.05 0.07 0.4 0.03 0.33724E+17 0.15300E+07 0.36164E+04 0.74035E+08 0.26521E+14 0.11958E+14
1000. 0.05 0.07 0.4 0.06 0.33025E+17 0.15000E+07 0.36831E+04 0.75204E+08 0.26549E+14 0.11728E+14
1000. 0.05 0.07 0.4 0.09 0.32391E+17 0.14300E+07 0.36849E+04 0.76175E+08 0.26527E+14 0.11499E+14
1000. 0.05 0.07 0.4 0.12 0.31808E+17 0.14200E+07 0.36861E+04 0.77060E+08 0.26503E+14 0.11273E+14
1000. 0.05 0.07 0.4 0.15 0.31293E+17 0.14000E+07 0.36874E+04 0.77848E+08 0.26494E+14 0.11051E+14
1000. 0.05 0.07 0.5 0.0 0.30177E+17 0.13200E+07 0.36096E+04 0.78796E+08 0.27062E+14 0.95832E+13
1000. 0.05 0.07 0.5 0.03 0.29699E+17 0.12800E+07 0.36143E+04 0.79553E+08 0.27034E+14 0.93778E+13
1000. 0.05 0.07 0.5 0.06 0.29245E+17 0.12500E+07 0.36157E+04 0.80301E+08 0.27016E+14 0.91770E+13
1000. 0.05 0.07 0.5 0.09 0.28776E+17 0.12500E+07 0.36240E+04 0.81123E+08 0.26988E+14 0.89880E+13
1000. 0.05 0.07 0.5 0.12 0.28355E+17 0.12200E+07 0.36416E+04 0.81835E+08 0.26959E+14 0.88027E+13
1000. 0.05 0.07 0.5 0.15 0.27963E+17 0.12000E+07 0.36435E+04 0.82455E+08 0.26917E+14 0.86175E+13
1000. 0.05 0.09 0.1 0.0 0.11772E+18 0.84600E+07 0.31117E+04 0.36841E+08 0.31825E+14 0.35017E+14
1000. 0.05 0.09 0.1 0.03 0.79453E+17 0.41500E+07 0.35508E+04 0.52926E+08 0.31038E+14 0.33770E+14
1000. 0.05 0.09 0.1 0.06 0.71396E+17 0.33800E+07 0.36450E+04 0.58038E+08 0.31079E+14 0.32782E+14
1000. 0.05 0.09 0.1 0.09 0.66678E+17 0.29900E+07 0.37066E+04 0.61279E+08 0.31046E+14 0.31924E+14
1000. 0.05 0.09 0.1 0.12 0.63026E+17 0.26900E+07 0.37403E+04 0.64386E+08 0.31379E+14 0.31161E+14
1000. 0.05 0.09 0.1 0.15 0.60498E+17 0.24900E+07 0.37575E+04 0.66404E+08 0.31490E+14 0.30423E+14
1000. 0.05 0.09 0.2 0.0 0.65327E+17 0.30400E+07 0.34965E+04 0.60898E+08 0.33300E+14 0.28012E+14
1000. 0.05 0.09 0.2 0.03 0.60953E+17 0.26600E+07 0.35482E+04 0.64279E+08 0.33049E+14 0.27334E+14
1000. 0.05 0.09 0.2 0.06 0.57891E+17 0.24400E+07 0.35829E+04 0.66905E+08 0.32984E+14 0.26709E+14
1000. 0.05 0.09 0.2 0.09 0.55503E+17 0.22900E+07 0.35993E+04 0.69283E+08 0.33137E+14 0.26127E+14
1000. 0.05 0.09 0.2 0.12 0.53687E+17 0.21300E+07 0.36308E+04 0.71110E+08 0.33269E+14 0.25567E+14
1000. 0.05 0.09 0.2 0.15 0.52110E+17 0.20400E+07 0.36471E+04 0.72695E+08 0.33333E+14 0.25048E+14
1000. 0.05 0.09 0.3 0.0 0.52360E+17 0.21900E+07 0.35063E+04 0.71046E+08 0.34496E+14 0.22835E+14
1000. 0.05 0.09 0.3 0.03 0.50300E+17 0.20100E+07 0.35383E+04 0.73378E+08 0.34490E+14 0.22392E+14
1000. 0.05 0.09 0.3 0.06 0.48674E+17 0.19400E+07 0.35466E+04 0.75290E+08 0.34518E+14 0.21960E+14
1000. 0.05 0.09 0.3 0.09 0.47325E+17 0.18600E+07 0.35530E+04 0.76933E+08 0.34570E+14 0.21540E+14
1000. 0.05 0.09 0.3 0.12 0.46141E+17 0.17800E+07 0.35522E+04 0.78327E+08 0.34574E+14 0.21125E+14
1000. 0.05 0.09 0.3 0.15 0.45025E+17 0.17400E+07 0.35857E+04 0.79677E+08 0.34554E+14 0.20734E+14
1000. 0.05 0.09 0.4 0.0 0.43759E+17 0.16900E+07 0.34942E+04 0.80409E+08 0.35462E+14 0.18766E+14
1000. 0.05 0.09 0.4 0.03 0.42540E+17 0.16000E+07 0.34957E+04 0.82211E+08 0.35459E+14 0.18440E+14
1000. 0.05 0.09 0.4 0.06 0.41540E+17 0.15500E+07 0.35155E+04 0.83594E+08 0.35403E+14 0.18114E+14
1000. 0.05 0.09 0.4 0.09 0.40609E+17 0.15300E+07 0.35158E+04 0.84883E+08 0.35312E+14 0.17812E+14
1000. 0.05 0.09 0.4 0.12 0.39699E+17 0.14900E+07 0.35325E+04 0.86347E+08 0.35297E+14 0.17532E+14
1000. 0.05 0.09 0.4 0.15 0.38845E+17 0.14500E+07 0.35806E+04 0.87858E+08 0.35335E+14 0.17262E+14
1000. 0.05 0.09 0.5 0.0 0.37631E+17 0.14300E+07 0.35381E+04 0.89382E+08 0.36346E+14 0.15492E+14
1000. 0.05 0.09 0.5 0.03 0.37020E+17 0.14100E+07 0.35362E+04 0.90337E+08 0.36314E+14 0.15227E+14
1000. 0.05 0.09 0.5 0.06 0.36447E+17 0.13700E+07 0.35395E+04 0.91252E+08 0.36291E+14 0.14966E+14
1000. 0.05 0.09 0.5 0.09 0.35926E+17 0.13400E+07 0.35333E+04 0.92072E+08 0.36273E+14 0.14706E+14
1000. 0.05 0.09 0.5 0.12 0.35438E+17 0.13000E+07 0.35352E+04 0.92821E+08 0.36238E+14 0.14457E+14
1000. 0.05 0.09 0.5 0.15 0.34965E+17 0.12600E+07 0.35379E+04 0.93548E+08 0.36198E+14 0.14212E+14
1000. 0.05 0.11 0.1 0.0 0.11796E+18 0.69500E+07 0.32939E+04 0.47357E+08 0.39069E+14 0.47025E+14
1000. 0.05 0.11 0.1 0.03 0.90754E+17 0.41600E+07 0.35557E+04 0.60019E+08 0.38378E+14 0.45569E+14
1000. 0.05 0.11 0.1 0.06 0.81473E+17 0.33900E+07 0.36833E+04 0.66762E+08 0.39727E+14 0.44101E+14
1000. 0.05 0.11 0.1 0.09 0.76566E+17 0.30300E+07 0.37149E+04 0.70248E+08 0.39828E+14 0.43066E+14
1000. 0.05 0.11 0.1 0.12 0.73070E+17 0.27700E+07 0.37506E+04 0.72817E+08 0.39864E+14 0.42137E+14
1000. 0.05 0.11 0.1 0.15 0.70014E+17 0.25300E+07 0.37709E+04 0.75643E+08 0.40382E+14 0.41240E+14
1000. 0.05 0.11 0.2 0.0 0.75466E+17 0.30700E+07 0.35150E+04 0.69604E+08 0.42508E+14 0.38445E+14
1000. 0.05 0.11 0.2 0.03 0.70873E+17 0.27100E+07 0.35743E+04 0.73370E+08 0.42527E+14 0.37613E+14
1000. 0.05 0.11 0.2 0.06 0.67750E+17 0.25000E+07 0.36123E+04 0.75866E+08 0.42396E+14 0.36819E+14
1000. 0.05 0.11 0.2 0.09 0.65203E+17 0.23600E+07 0.36309E+04 0.78001E+08 0.42308E+14 0.36074E+14
1000. 0.05 0.11 0.2 0.12 0.63116E+17 0.22500E+07 0.36437E+04 0.79977E+08 0.42420E+14 0.35375E+14
1000. 0.05 0.11 0.2 0.15 0.61275E+17 0.21000E+07 0.36507E+04 0.81915E+08 0.42638E+14 0.34718E+14
1000. 0.05 0.11 0.3 0.0 0.62134E+17 0.22600E+07 0.35119E+04 0.79736E+08 0.44257E+14 0.32097E+14
1000. 0.05 0.11 0.3 0.03 0.60072E+17 0.21000E+07 0.35374E+04 0.81922E+08 0.44358E+14 0.31485E+14
1000. 0.05 0.11 0.3 0.06 0.58288E+17 0.20100E+07 0.35478E+04 0.83786E+08 0.44365E+14 0.30901E+14
1000. 0.05 0.11 0.3 0.09 0.56653E+17 0.19400E+07 0.35639E+04 0.85622E+08 0.44393E+14 0.30364E+14
1000. 0.05 0.11 0.3 0.12 0.55146E+17 0.18600E+07 0.35969E+04 0.87384E+08 0.44398E+14 0.29868E+14
1000. 0.05 0.11 0.3 0.15 0.53861E+17 0.18300E+07 0.36041E+04 0.88939E+08 0.44446E+14 0.29380E+14
1000. 0.05 0.11 0.4 0.0 0.53291E+17 0.18600E+07 0.34905E+04 0.88438E+08 0.45671E+14 0.26962E+14
1000. 0.05 0.11 0.4 0.03 0.51987E+17 0.17700E+07 0.35084E+04 0.90082E+08 0.45675E+14 0.26499E+14
1000. 0.05 0.11 0.4 0.06 0.50762E+17 0.17200E+07 0.35313E+04 0.91614E+08 0.45604E+14 0.26068E+14
1000. 0.05 0.11 0.4 0.09 0.49441E+17 0.16200E+07 0.35345E+04 0.93668E+08 0.45696E+14 0.25676E+14
1000. 0.05 0.11 0.4 0.12 0.48312E+17 0.15700E+07 0.35511E+04 0.95383E+08 0.45715E+14 0.25305E+14
1000. 0.05 0.11 0.4 0.15 0.47388E+17 0.15200E+07 0.35544E+04 0.96747E+08 0.45732E+14 0.24925E+14
1000. 0.05 0.11 0.5 0.0 0.46104E+17 0.15000E+07 0.34825E+04 0.97418E+08 0.46473E+14 0.22746E+14
1000. 0.05 0.11 0.5 0.03 0.45136E+17 0.14600E+07 0.34876E+04 0.98964E+08 0.46420E+14 0.22422E+14
1000. 0.05 0.11 0.5 0.06 0.44210E+17 0.14500E+07 0.35525E+04 0.10068E+09 0.46482E+14 0.22115E+14
1000. 0.05 0.11 0.5 0.09 0.43461E+17 0.14100E+07 0.35510E+04 0.10208E+09 0.46568E+14 0.21808E+14
